v5_section,v5_behavior,v3_6_location,v3_6_behavior,match_status,test_coverage,reuse_decision,required_correction
"2 Integer Number Rule","All numeric values are integers, milli-units (1000:1), integer_div(a,b)=floor(a/b), cross-multiply for comparisons","v3_6_core.py:CoreParams","All parameters are floats (tau=5.0, eps_extend=5.0, etc.), decimal arithmetic throughout, floating comparisons with epsilon tolerance","DIFFERENT SEMANTICS","None — fundamental type mismatch","Cannot reuse. Must rewrite all arithmetic and data structures to integer","Replace all float params with integer milli-unit equivalents. Replace all floating comparisons with integer comparisons and cross-multiplication"
"2A Entry Points","run_step(nodes,params,*,use_deficit,use_poc_scream,allow_bonding,bond_collapse_positions,bonding_strict,rng) mutates in place. run_cluster(seed,params,steps=140) returns dict","v3_6_core.py:step_once()","step_once(nodes,next_id,params,rng,counters,*,decision_fn,extra_occupied) returns (nodes,next_id). No run_step or run_cluster","ABSENT","None","Cannot reuse directly. v5 entry points must be implemented fresh","Implement exact v5 run_step and run_cluster signatures"
"3 Node Record","10 fields: id,pos,direction,energy,pressure,alive,type,parent_id,bonds,signal_type. direction in 6 cardinal dirs. bonds as mutable set","v3_6_core.py:CoreNode","9 fields: id,pos,dir,energy,pressure,parent_id,type,alive,T. Uses 'dir' not 'direction'. No bonds field. No signal_type field. Has 'T' field for decision enum","PARTIAL","4 fields in common (id,pos,energy,pressure,parent_id)","Can adapt CoreNode dataclass structure — add bonds set and signal_type, rename dir→direction, remove T","Add bonds (mutable set of int), signal_type (int), rename dir→direction, remove T field"
"4 Node Types","5 types: seed,tip,branch,inert,wall. Death sets alive=False type=inert with energy preserved. Bifurcation parent: alive=False type=branch energy=0","v3_6_core.py:step_once()","4 types: seed,tip,branch,inert. No wall type. Death sets energy=0.0 (v5 preserves energy). Bifurcation parent: type=branch energy implicitly 0","PARTIAL","4/5 types match. Death energy handling different","Can reuse node type classification logic. Add wall type enum","Add wall type. Change death to preserve energy value. Add wall to occupancy rules"
"5 Parameters","38 integer parameters with constraints (tau>0, iota_sq>0, r_sq>iota_sq, etc.). 5 Boolean runtime flags","v3_6_core.py:CoreParams","21 float parameters (tau=5.0, iota=1.0, r=25.0, etc.). No cluster parameters. No runtime flags (use_deficit, use_poc_scream, allow_bonding, bond_collapse_positions, bonding_strict)","DIFFERENT SEMANTICS","None","Cannot reuse parameter dataclass. Parameter set is substantially different","Rewrite CoreParams to v5 integer parameter table with all 38 entries + constraints"
"6 Validation Rules","Pre-step validation: field existence, id uniqueness, pos 3-int tuple, direction cardinal, energy/pressure non-negative int, alive Boolean, type valid, bonds symmetric and valid ids, params constraints, flag exclusivity","v3_6_core.py:step_once()","No explicit validation function. step_once() does not validate node structure, parameter constraints, or invariants before execution","ABSENT","None","Cannot reuse. Must implement fresh","Implement full v5 Section 6 validation with NaturalMathValidationError"
"6A Runtime Invariants","Post-step checks: unique ids, field types, directions, energy/pressure non-negative, live types seed/tip, dead types branch/inert/wall, bond symmetry, max_bonds","v3_6_core.py:check_invariants()","check_invariants() checks: no colocation, non-negative energy, finite support, parent DAG, closed-system energy non-increasing. Does NOT check: direction validity, type consistency, bond symmetry, max_bonds","PARTIAL","3/8 invariant checks overlap (non-negative energy, unique ids, finite support)","Can adapt invariant check structure but must add v5-specific checks","Add: direction cardinality check, type/alive consistency, bond symmetry, max_bonds, signal_type integer"
"7 Helper Rules","Q(p,q) squared distance, dot product, sign(x), clamp_nonnegative, lexicographic sort, ascending id order","v3_6_core.py:quadrance()","quadrance() returns float. No dot/sign/clamp helpers. Node ordering unreliable","PARTIAL","Q function exists but returns float","Can adapt quadrance to return int. Add missing helpers","Return integer from quadrance. Add dot, sign, clamp_nonnegative helpers"
"8 Randomness","rng.randrange(0,1000000) for ppm draws, rng.randint, rng.choice. sample_two() defined. Explicit random-call ordering required","v3_6_core.py:step_once()","rng.random() for probabilities (<0.3), rng.choice() for axes. Floating random, no explicit PPM draws","DIFFERENT SEMANTICS","None","Cannot reuse randomness system. Must rewrite for integer PPM draws","Replace all rng.random() with rng.randrange(0,1000000) for PPM draws. Use rng.randint for discrete choices. Implement sample_two()"
"9 Deficit","deficit(E)=max(0,E0-E), effective energy difference modified by deficit_strength term, integer arithmetic","v3_6_core.py","Not implemented","ABSENT","N/A","Implement fresh","Add deficit computation to gradient when use_deficit=True"
"10 Integer Gradient Choice","Exact rational gradient with (num,den) pairs, cross-multiplication for comparison, axis-aligned direction selection with tie-breaking (x before y before z), only live neighbors, 1 ≤ qdist ≤ r_sq","v3_6_core.py:compute_gradient()","Continuous weighted gradient: w=1.0/q_dist, weighted average, normalized to unit vector, projected to axis via epsilon comparison. Uses ALL active nodes including those beyond r_sq (with tolerance)","DIFFERENT SEMANTICS","None","Cannot reuse gradient computation. Algorithm is fundamentally different","Rewrite gradient to integer rational system with exact neighbor filtering, (num,den) accumulation, cross-multiplication axis selection"
"11 Contact And Decisions","RESTRICT_DIE if energy<tau, RESTRICT_DIE if min_q<iota_sq, SENSE if min_q==iota_sq, else compute gradient→EXTEND/SENSE/fallback","v3_6_core.py:compute_decision()","Flow: energy<tau→-1, min_q<iota_sq→-1, can_extend AND gradient>eta_sq→+1, can_extend AND gradient≤eta_sq AND random<gamma_fallback→+1, else 0. Uses floating comparisons with epsilon","FUNCTIONAL MATCH","Semantics similar but floating-point","Logic flow can be adapted. The decision categories (RESTRICT/SENSE/EXTEND) align","Replace floating thresholds with integer comparisons. Explicit ==iota_sq SENSE case. Replace rng.random()<gamma_fallback with ppm draw"
"12 Full run_step","18-step ordered pipeline: validate, build active, kill OOB, kill low energy, rebuild, frozen occupancy, init scheduling, compute decisions, apply RESTRICT, apply SENSE, schedule EXTEND, resolve movements, set direction, bifurcations, pressure, bonding, invariants, return","v3_6_core.py:step_once()","Simpler pipeline: kill OOB, kill low energy, rebuild active, occupied snapshot, compute decisions, apply RESTRICT, apply SENSE, EXTEND with inline bifurcation, resolve conflicts, pressure. No frozen occupancy, no explicit scheduling structures","PARTIAL","Many phases exist but ordering and details differ","Can reuse overall pipeline structure","Add: frozen occupancy step, explicit movement_attempts map, reserved_child_positions set, scheduled_bifurcations list, separate movement resolution phase, post-movement direction update, invariant check after each step"
"13 Movement And Blocking","Target blocked if in frozen all_occupied, in reserved_child_positions, or OOB -100..100. Winner: highest energy, ties to lower id. Losers stay, pay eps_sense, gain delta_P_conflict. Contested blocked target: all blocked","v3_6_core.py:resolve_conflicts()","Occupied={active pos} set. Conflict if target in occupied OR len(contenders)>1. Winner receives target. Losers pay eps_sense. Does not distinguish frozen vs step-local occupancy","FUNCTIONAL MATCH","Conflict resolution logic similar in spirit","Can adapt resolve_conflicts with frozen occupancy integration","Use frozen all_occupied (all node positions) not just active positions. Add reserved_child_positions blocking. Add tie-breaking by id"
"14 Bifurcation","Check order: alive, mode allows, pressure≥P_bifurcate, energy>eps_extend+eps_spawn+eps_split+2*tau, child positions valid. Parent stores parent_energy_for_split. Child energy=integer_div(parent_energy-eps_extend-eps_spawn-eps_split,2). Children: pressure=0, type=tip, signal_type=parent.signal_type","v3_6_core.py:step_once() bifurcation block","Check: pressure≥p_bifurcate, energy>2*eps_extend+eps_spawn. Child energy=max((n.energy-eps_split)/2.0, tau). Children: pressure=n.pressure (parent's pressure), no signal_type copy","PARTIAL","Bifurcation concept aligns but energy thresholds and child initialization differ","Can adapt bifurcation block with corrected thresholds","Change energy check to v5 formula. Change child energy to integer_div. Children pressure=0 (not parent's). Add signal_type inheritance. Add reserved_child_positions. Store parent_energy_for_split"
"15 Child Direction Table","Fixed table: x-axis→(0,1,0)+(0,0,1), y-axis→(1,0,0)+(0,0,1), z-axis→(1,0,0)+(0,1,0), (0,0,0)→(1,0,0)+(0,1,0). child_pos=parent.pos+direction","v3_6_core.py:bifurcation_children()","Uses perpendicular math: compute w as perpendicular to v_parent, project to lattice, compute candidates from v0_proj±w_proj and v0_proj±w_opp, return first two valid. Uses parent.dir not movement direction","DIFFERENT SEMANTICS","None — algorithm is different","Cannot reuse. Must replace with fixed table","Replace bifurcation_children() with v5 Section 15 fixed lookup table. Use movement_direction not parent.dir"
"16 Pressure","Each live node: pressure=integer_div((pressure+delta_P_baseline)*beta_num,beta_den). Conflict pressure already added before this phase","v3_6_core.py:step_once() pressure block","pressure=(pressure+delta_P_baseline)*beta. Floating multiplication","FUNCTIONAL MATCH","Same formula, different numeric type","Can adapt with integer arithmetic","Replace float (pressure+delta_P_baseline)*beta with integer_div((pressure+delta_P_baseline)*beta_num,beta_den)"
"17 Bonding","Build pairs by (a.id,b.id). dist_sq≤bond_distance_sq (non-strict) or < (strict). live_degree<max_bonds. No existing bond. Energy equalization: each gets half. bond_collapse_positions moves b to a.pos","v3_6_core.py","Not implemented — no bonding support at all","ABSENT","None","Cannot reuse. Must implement fresh","Implement full bonding system: pair building, distance checks, degree checks, energy equalization, bond_collapse_positions"
"18 Cluster Benchmark","30-node cluster, chain bonds (0,1)...(28,29), 435 random bond draws, resource placement. rng=random.Random(seed). No contact death rule","v3_6_core.py","Not implemented — no cluster benchmark","ABSENT","None","Cannot reuse. Implement fresh","Implement run_cluster(seed,params,steps) with exact initialization"
"19 Cluster Step","decay→clamp→kill→damage(at step 35)→clamp→kill→metrics→action→clamp→kill→resource→clamp→kill→invariants","v3_6_core.py","Not implemented","ABSENT","None","Cannot reuse","Implement cluster step pipeline"
"20 Cluster Metrics","alive_count, component_count, average_energy, min_energy, center_sum/denominator, success_distance_passed (integer), gini_num/den, gini_over_threshold","v3_6_core.py","Not implemented","ABSENT","None","Cannot reuse","Implement integer cluster metrics computation"
"21 Cluster Actions","Policy: REPAIR>REDISTRIBUTE>SEEK>REST. SEEK axis-aligned with random override. REDISTRIBUTE over live bonds. REPAIR component-reconnect. REST adds rest_gain","v3_6_core.py","Not implemented","ABSENT","None","Cannot reuse","Implement cluster action selection and execution"
"22 Cluster Result","Dictionary: nodes, resource_pos, resource_left, resource_reached, metrics, passed (Boolean diagnostic)","v3_6_core.py","Not implemented","ABSENT","None","Cannot reuse","Implement run_cluster return dict"
"23-26","Validation status, known limits, future work, rule for changes","v3_6_core.py","Not present (no comparable sections)","ABSENT","N/A","N/A","N/A"
"Initialization","initialize_default() creates 3 seeds at (0,0,0),(3,0,0),(-3,0,0) with e0 energy","Not applicable to v5 run_step","v5 has no default initialization; expects caller to supply nodes. Cluster benchmark has its own init","UNVERIFIED","N/A","Not applicable","v5 caller supplies nodes directly"
"Bounds","v3.6 uses asymmetric bounds ((-100,100),(-50,100),(-50,50))","v5 Section 12 uses symmetric -100≤x,y,z≤100","DIFFERENT","N/A","Must use v5 symmetric bounds","Change bounds to symmetric ±100 on all axes"
"Oracles","v3.6 has 8 oracles (float-based): single seed, contact equality, strict contact, bifurcation, zero-gradient fallback, bifurcation colocation, pressure update, growth initiation","v5 has 25 integer oracles + 15 cluster oracles = 40 total","DIFFERENT SEMANTICS","8/8 passed (float). No overlap with v5 oracles","v3.6 oracle concepts (contact, bifurcation, pressure) map to v5 oracle areas but cannot be reused due to float/integer mismatch","Replace all v3.6 oracles with v5 integer oracle suites"
"node_count_fragment","v3.6 node list grows dynamically (new nodes appended)","v5 node list mutated in-place, children appended with ascending ids from next_id","FUNCTIONAL MATCH","Similar approach","Can adapt node ID assignment from next_id tracking","Ensure next_id starts from 1+max(id), children receive sequential ids"
"validation_error_type","No NaturalMathValidationError class","v5 requires NaturalMathValidationError(ValueError)","ABSENT","None","Add NaturalMathValidationError class","Import or define NaturalMathValidationError"
"fallback_direction","random_direction() generates new random axis+sign each call","v5 uses stored node.direction field, only triggers when gradient=0 AND ppm draw passes","DIFFERENT SEMANTICS","None","Cannot reuse random_direction","Replace with v5 fallback using stored direction field and ppm draw"
"sensing_cost","node.energy set to 0.0 if it goes negative after eps_sense cost","v5: energy=clamp_nonnegative(energy-eps_sense), then if energy<tau: die as inert","PARTIAL","Similar but v5 has explicit clamp+die sequence","Can adapt","Add clamp_nonnegative after each cost, then check energy<tau→die"
"v5_section,v5_behavior,v3_6_location,v3_6_behavior,match_status,test_coverage,reuse_decision,required_correction"
